country_website,product_name,price,rating,number_of_reviews,size,unit,image
USA,CRÈME DE LA MER,100.00,4.7,7488,60,ml,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
USA,THE REVITALIZING MIST,90.00,4.7,50,100,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5WLC01_4x5_0.png?width=900&height=1125
USA,THE LIP BALM,80.00,4.4,297,9,g ,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5X2101_4x5_0.png?width=900&height=1125
USA,THE BROAD SPECTRUM SPF 50 UV PROTECTING FLUID,115.00,4.2,56,50,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_54J201_4x5_0.png?width=900&height=1125
USA,THE TREATMENT LOTION,130.00,4.7,1315,100,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_407W01_4x5_0.png?width=900&height=1125
USA,THE MOISTURIZING SOFT CREAM,380.00,4.7,1272,60,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HK401_4x5_0.png?width=900&height=1125
USA,THE CONCRENTRATE,440.00,4.6,3219,30,ml,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_40HW01_4x5_0.png?width=900&height=1125
USA,THE NEW LIFTING FIRMING SERUM,220.00,4.7,3,30,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5R2601_4x5_0.png?width=900&height=1125
USA,THE HYDRATING INFUSED EMULSION,280.00,4.5,5075,125,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5XPX01_4x5_0.png?width=900&height=1125
USA,THE LIFTING AND FIRMING MASK,310.00,4.7,47,50,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_54TR01_4x5_0.png?width=900&height=1125
USA,THE REGENERATING SERUM,425.00,4.6,214,30,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5R0P01_4x5_0.png?width=900&height=1125
USA,THE EYE CONCENTRATE,270.00,4.5,816,15,ml,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_40HW01_4x5_0.png?width=900&height=1125
USA,THE HYDRATING ILLUMINATOR,95.00,4.7,16,41,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5X4301_4x5_0.png?width=900&height=1125
USA,THE LIP VOLUMIZER,90.00,3.7,59,0,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5RHP01_4x5_0.png?width=900&height=1125
USA,THE TREATMENT LOTION HYDRATING MASK,195.00,3.6,36,30,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5PE901_4x5_0.png?width=900&height=1125
USA,THE SOFT FLUID LONG WEAR FOUNDATION BROAD SPECTRUM SPF 20,150.00,4.1,67,0,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5FT222_4x5_0.png?width=900&height=1125
USA,THE HAND TREATMENT,110.00,4.7,121,100,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_22TW01_4x5_0.png?width=900&height=1125
USA,THE NECK AND DÉCOLLETÉ CONCENTRATE,330.00,4.6,21,50,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5KP101_4x5_0.png?width=900&height=1125
USA,THE BODY CRÈME,315.00,4.9,110,300,ml,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_27G201_4x5_0.png?width=900&height=1125
